file,label,frame
Jam\Frame_10880_fg.png,5,10880
Jam\Frame_10440_fg.png,5,10440
Lid\Frame_6160_fg.png,6,6160
Sponge\Frame_9360_fg.png,13,9360
Background\Frame_10080_bg.png,0,10080
Glass\Frame_0600_fg.png,4,600
FryingPan\Frame_13600_fg.png,3,13600
MilkBottle\Frame_10040_fg.png,7,10040
Bowl\Frame_5040_fg.png,1,5040
Rice\Frame_13640_fg.png,11,13640
Bowl\Frame_7480_fg.png,1,7480
Background\Frame_8320_bg.png,0,8320
Bowl\Frame_2680_fg.png,1,2680
FryingPan\Frame_15360_fg.png,3,15360
FryingPan\Frame_10840_fg.png,3,10840
OilBottle\Frame_5480_fg.png,9,5480
Glass\Frame_7240_fg.png,4,7240
WashLiquid\Frame_3000_fg.png,16,3000
Sponge\Frame_6200_fg.png,13,6200
Plate\Frame_12960_fg.png,10,12960
Sponge\Frame_8400_fg.png,13,8400
Sponge\Frame_12080_fg.png,13,12080
Sponge\Frame_8800_fg.png,13,8800
OilBottle\Frame_7960_fg.png,9,7960
Mug\Frame_1080_fg.png,8,1080
Background\Frame_19760_bg.png,0,19760
FryingPan\Frame_10920_fg.png,3,10920
FryingPan\Frame_14600_fg.png,3,14600
OilBottle\Frame_11360_fg.png,9,11360
Glass\Frame_8080_fg.png,4,8080
SaucePan\Frame_1640_fg.png,12,1640
Sugar\Frame_2040_fg.png,14,2040
Jam\Frame_2240_fg.png,5,2240
Plate\Frame_11200_fg.png,10,11200
OilBottle\Frame_2680_fg.png,9,2680
Sponge\Frame_2880_fg.png,13,2880
FryingPan\Frame_9040_fg.png,3,9040
OilBottle\Frame_9240_fg.png,9,9240
Jam\Frame_5800_fg.png,5,5800
Rice\Frame_4880_fg.png,11,4880
Glass\Frame_9080_fg.png,4,9080
CanOfCocaCola\Frame_15560_fg.png,2,15560
VinegarBottle\Frame_6280_fg.png,15,6280
Rice\Frame_11400_fg.png,11,11400
Mug\Frame_7520_fg.png,8,7520
Sugar\Frame_9240_fg.png,14,9240
CanOfCocaCola\Frame_6960_fg.png,2,6960
CanOfCocaCola\Frame_17480_fg.png,2,17480
Sponge\Frame_1080_fg.png,13,1080
OilBottle\Frame_10920_fg.png,9,10920
Rice\Frame_6480_fg.png,11,6480
Jam\Frame_4560_fg.png,5,4560
Rice\Frame_4040_fg.png,11,4040
OilBottle\Frame_7040_fg.png,9,7040
Plate\Frame_9600_fg.png,10,9600
Jam\Frame_4160_fg.png,5,4160
OilBottle\Frame_11720_fg.png,9,11720
Rice\Frame_6680_fg.png,11,6680
Rice\Frame_9800_fg.png,11,9800
Jam\Frame_2440_fg.png,5,2440
Mug\Frame_10760_fg.png,8,10760
WashLiquid\Frame_4040_fg.png,16,4040
Lid\Frame_2040_fg.png,6,2040
MilkBottle\Frame_6760_fg.png,7,6760
Bowl\Frame_1280_fg.png,1,1280
Sponge\Frame_5400_fg.png,13,5400
Rice\Frame_3160_fg.png,11,3160
Sponge\Frame_5720_fg.png,13,5720
Jam\Frame_3160_fg.png,5,3160
CanOfCocaCola\Frame_16920_fg.png,2,16920
SaucePan\Frame_9520_fg.png,12,9520
Rice\Frame_8040_fg.png,11,8040
SaucePan\Frame_13000_fg.png,12,13000
Rice\Frame_8960_fg.png,11,8960
CanOfCocaCola\Frame_4040_fg.png,2,4040
Background\Frame_1520_bg.png,0,1520
Sponge\Frame_2360_fg.png,13,2360
Bowl\Frame_2120_fg.png,1,2120
WashLiquid\Frame_9600_fg.png,16,9600
OilBottle\Frame_8520_fg.png,9,8520
MilkBottle\Frame_5800_fg.png,7,5800
Background\Frame_2640_bg.png,0,2640
SaucePan\Frame_15760_fg.png,12,15760
SaucePan\Frame_6400_fg.png,12,6400
FryingPan\Frame_15120_fg.png,3,15120
Jam\Frame_11560_fg.png,5,11560
VinegarBottle\Frame_24760_fg.png,15,24760
MilkBottle\Frame_7080_fg.png,7,7080
Plate\Frame_5400_fg.png,10,5400
Lid\Frame_7520_fg.png,6,7520
Mug\Frame_4360_fg.png,8,4360
FryingPan\Frame_16000_fg.png,3,16000
CanOfCocaCola\Frame_8840_fg.png,2,8840
MilkBottle\Frame_2760_fg.png,7,2760
OilBottle\Frame_10840_fg.png,9,10840
FryingPan\Frame_4800_fg.png,3,4800
FryingPan\Frame_13640_fg.png,3,13640
MilkBottle\Frame_7760_fg.png,7,7760
SaucePan\Frame_12720_fg.png,12,12720
Bowl\Frame_3200_fg.png,1,3200
VinegarBottle\Frame_11200_fg.png,15,11200
Sponge\Frame_12600_fg.png,13,12600
Bowl\Frame_9880_fg.png,1,9880
Sugar\Frame_10080_fg.png,14,10080
Mug\Frame_5760_fg.png,8,5760
Rice\Frame_8280_fg.png,11,8280
Plate\Frame_8440_fg.png,10,8440
CanOfCocaCola\Frame_11760_fg.png,2,11760
Background\Frame_12320_bg.png,0,12320
OilBottle\Frame_8320_fg.png,9,8320
FryingPan\Frame_4240_fg.png,3,4240
Lid\Frame_0920_fg.png,6,920
CanOfCocaCola\Frame_2520_fg.png,2,2520
Jam\Frame_10920_fg.png,5,10920
Glass\Frame_7200_fg.png,4,7200
Sugar\Frame_11600_fg.png,14,11600
Background\Frame_2000_bg.png,0,2000
Plate\Frame_1560_fg.png,10,1560
Plate\Frame_13000_fg.png,10,13000
FryingPan\Frame_7920_fg.png,3,7920
Sponge\Frame_6040_fg.png,13,6040
Jam\Frame_11480_fg.png,5,11480
CanOfCocaCola\Frame_10800_fg.png,2,10800
SaucePan\Frame_11320_fg.png,12,11320
Plate\Frame_5280_fg.png,10,5280
MilkBottle\Frame_8040_fg.png,7,8040
Mug\Frame_10360_fg.png,8,10360
Lid\Frame_4000_fg.png,6,4000
OilBottle\Frame_4080_fg.png,9,4080
Mug\Frame_4000_fg.png,8,4000
OilBottle\Frame_7280_fg.png,9,7280
MilkBottle\Frame_10120_fg.png,7,10120
Rice\Frame_11120_fg.png,11,11120
Lid\Frame_5120_fg.png,6,5120
Glass\Frame_2120_fg.png,4,2120
SaucePan\Frame_11440_fg.png,12,11440
Glass\Frame_8560_fg.png,4,8560
Glass\Frame_5240_fg.png,4,5240
Sponge\Frame_10480_fg.png,13,10480
OilBottle\Frame_2880_fg.png,9,2880
Glass\Frame_0720_fg.png,4,720
CanOfCocaCola\Frame_9800_fg.png,2,9800
Background\Frame_16360_bg.png,0,16360
Mug\Frame_6360_fg.png,8,6360
Plate\Frame_12240_fg.png,10,12240
Mug\Frame_4800_fg.png,8,4800
SaucePan\Frame_15480_fg.png,12,15480
WashLiquid\Frame_0640_fg.png,16,640
FryingPan\Frame_9960_fg.png,3,9960
OilBottle\Frame_7120_fg.png,9,7120
OilBottle\Frame_1800_fg.png,9,1800
Background\Frame_18320_bg.png,0,18320
Glass\Frame_9920_fg.png,4,9920
VinegarBottle\Frame_10880_fg.png,15,10880
Jam\Frame_10520_fg.png,5,10520
Background\Frame_17400_bg.png,0,17400
VinegarBottle\Frame_10120_fg.png,15,10120
MilkBottle\Frame_9040_fg.png,7,9040
Plate\Frame_7560_fg.png,10,7560
Glass\Frame_6280_fg.png,4,6280
Sponge\Frame_12840_fg.png,13,12840
OilBottle\Frame_2240_fg.png,9,2240
FryingPan\Frame_1160_fg.png,3,1160
Sponge\Frame_11720_fg.png,13,11720
SaucePan\Frame_2400_fg.png,12,2400
Background\Frame_8960_bg.png,0,8960
OilBottle\Frame_11680_fg.png,9,11680
Background\Frame_16760_bg.png,0,16760
Sugar\Frame_5920_fg.png,14,5920
Bowl\Frame_3440_fg.png,1,3440
Mug\Frame_11480_fg.png,8,11480
Background\Frame_25680_bg.png,0,25680
Background\Frame_25080_bg.png,0,25080
Plate\Frame_7040_fg.png,10,7040
FryingPan\Frame_15000_fg.png,3,15000
FryingPan\Frame_9160_fg.png,3,9160
Background\Frame_4040_bg.png,0,4040
Lid\Frame_1080_fg.png,6,1080
SaucePan\Frame_8160_fg.png,12,8160
VinegarBottle\Frame_7760_fg.png,15,7760
WashLiquid\Frame_3240_fg.png,16,3240
Plate\Frame_4120_fg.png,10,4120
CanOfCocaCola\Frame_8000_fg.png,2,8000
Sponge\Frame_1760_fg.png,13,1760
Mug\Frame_2440_fg.png,8,2440
Glass\Frame_2520_fg.png,4,2520
Mug\Frame_3320_fg.png,8,3320
SaucePan\Frame_8600_fg.png,12,8600
Sponge\Frame_6920_fg.png,13,6920
Rice\Frame_3200_fg.png,11,3200
VinegarBottle\Frame_24120_fg.png,15,24120
SaucePan\Frame_8480_fg.png,12,8480
Background\Frame_2440_bg.png,0,2440
MilkBottle\Frame_7600_fg.png,7,7600
Bowl\Frame_5800_fg.png,1,5800
WashLiquid\Frame_3520_fg.png,16,3520
Bowl\Frame_8000_fg.png,1,8000
MilkBottle\Frame_7360_fg.png,7,7360
Mug\Frame_6560_fg.png,8,6560
SaucePan\Frame_6600_fg.png,12,6600
OilBottle\Frame_11240_fg.png,9,11240
FryingPan\Frame_9360_fg.png,3,9360
Sugar\Frame_5600_fg.png,14,5600
Mug\Frame_5520_fg.png,8,5520
FryingPan\Frame_3000_fg.png,3,3000
OilBottle\Frame_3760_fg.png,9,3760
Plate\Frame_8160_fg.png,10,8160
Jam\Frame_2920_fg.png,5,2920
Mug\Frame_9560_fg.png,8,9560
OilBottle\Frame_10320_fg.png,9,10320
Sugar\Frame_9840_fg.png,14,9840
WashLiquid\Frame_2040_fg.png,16,2040
Rice\Frame_13480_fg.png,11,13480
CanOfCocaCola\Frame_17760_fg.png,2,17760
FryingPan\Frame_4440_fg.png,3,4440
Mug\Frame_8840_fg.png,8,8840
Background\Frame_12520_bg.png,0,12520
WashLiquid\Frame_2560_fg.png,16,2560
Rice\Frame_3280_fg.png,11,3280
Rice\Frame_9360_fg.png,11,9360
Lid\Frame_5440_fg.png,6,5440
VinegarBottle\Frame_19440_fg.png,15,19440
Background\Frame_20440_bg.png,0,20440
FryingPan\Frame_11160_fg.png,3,11160
SaucePan\Frame_11880_fg.png,12,11880
OilBottle\Frame_6600_fg.png,9,6600
Sponge\Frame_5520_fg.png,13,5520
FryingPan\Frame_8960_fg.png,3,8960
VinegarBottle\Frame_22320_fg.png,15,22320
Glass\Frame_4080_fg.png,4,4080
Plate\Frame_14760_fg.png,10,14760
MilkBottle\Frame_2160_fg.png,7,2160
Mug\Frame_9880_fg.png,8,9880
Background\Frame_1480_bg.png,0,1480
SaucePan\Frame_11040_fg.png,12,11040
Mug\Frame_9800_fg.png,8,9800
Sugar\Frame_9560_fg.png,14,9560
Background\Frame_9320_bg.png,0,9320
SaucePan\Frame_10080_fg.png,12,10080
CanOfCocaCola\Frame_8400_fg.png,2,8400
Jam\Frame_10040_fg.png,5,10040
Jam\Frame_4960_fg.png,5,4960
Plate\Frame_11440_fg.png,10,11440
Lid\Frame_3840_fg.png,6,3840
Lid\Frame_5880_fg.png,6,5880
Background\Frame_24880_bg.png,0,24880
SaucePan\Frame_15600_fg.png,12,15600
WashLiquid\Frame_8640_fg.png,16,8640
Sponge\Frame_6000_fg.png,13,6000
OilBottle\Frame_7160_fg.png,9,7160
Mug\Frame_10200_fg.png,8,10200
SaucePan\Frame_9680_fg.png,12,9680
Plate\Frame_13880_fg.png,10,13880
MilkBottle\Frame_7240_fg.png,7,7240
Sugar\Frame_2840_fg.png,14,2840
VinegarBottle\Frame_6640_fg.png,15,6640
Mug\Frame_8640_fg.png,8,8640
Sugar\Frame_7680_fg.png,14,7680
Plate\Frame_6120_fg.png,10,6120
Sugar\Frame_1880_fg.png,14,1880
Plate\Frame_2720_fg.png,10,2720
MilkBottle\Frame_1760_fg.png,7,1760
Mug\Frame_9400_fg.png,8,9400
Bowl\Frame_2240_fg.png,1,2240
Glass\Frame_12800_fg.png,4,12800
Background\Frame_19720_bg.png,0,19720
Mug\Frame_1640_fg.png,8,1640
WashLiquid\Frame_3560_fg.png,16,3560
Glass\Frame_9360_fg.png,4,9360
Mug\Frame_8440_fg.png,8,8440
MilkBottle\Frame_7120_fg.png,7,7120
Mug\Frame_2240_fg.png,8,2240
Background\Frame_9360_bg.png,0,9360
Sugar\Frame_11160_fg.png,14,11160
Mug\Frame_9680_fg.png,8,9680
MilkBottle\Frame_3880_fg.png,7,3880
Bowl\Frame_3800_fg.png,1,3800
Rice\Frame_10920_fg.png,11,10920
Plate\Frame_14360_fg.png,10,14360
Glass\Frame_10720_fg.png,4,10720
Sponge\Frame_3040_fg.png,13,3040
OilBottle\Frame_7560_fg.png,9,7560
Glass\Frame_5800_fg.png,4,5800
Bowl\Frame_0600_fg.png,1,600
SaucePan\Frame_6240_fg.png,12,6240
Plate\Frame_7840_fg.png,10,7840
Sugar\Frame_8800_fg.png,14,8800
Rice\Frame_7760_fg.png,11,7760
VinegarBottle\Frame_24280_fg.png,15,24280
SaucePan\Frame_5840_fg.png,12,5840
CanOfCocaCola\Frame_5840_fg.png,2,5840
Plate\Frame_5560_fg.png,10,5560
Background\Frame_5880_bg.png,0,5880
Plate\Frame_3800_fg.png,10,3800
Glass\Frame_10560_fg.png,4,10560
Sponge\Frame_6160_fg.png,13,6160
Jam\Frame_5480_fg.png,5,5480
Background\Frame_3240_bg.png,0,3240
WashLiquid\Frame_0760_fg.png,16,760
Plate\Frame_14400_fg.png,10,14400
Sponge\Frame_7120_fg.png,13,7120
VinegarBottle\Frame_8120_fg.png,15,8120
Mug\Frame_8240_fg.png,8,8240
Background\Frame_13000_bg.png,0,13000
Jam\Frame_11040_fg.png,5,11040
Sponge\Frame_7400_fg.png,13,7400
Mug\Frame_10560_fg.png,8,10560
Background\Frame_5320_bg.png,0,5320
MilkBottle\Frame_2880_fg.png,7,2880
Glass\Frame_8800_fg.png,4,8800
CanOfCocaCola\Frame_18800_fg.png,2,18800
CanOfCocaCola\Frame_11560_fg.png,2,11560
Plate\Frame_2800_fg.png,10,2800
Rice\Frame_10360_fg.png,11,10360
Lid\Frame_5000_fg.png,6,5000
Bowl\Frame_2840_fg.png,1,2840
Lid\Frame_7120_fg.png,6,7120
Background\Frame_9760_bg.png,0,9760
Lid\Frame_5520_fg.png,6,5520
Background\Frame_2840_bg.png,0,2840
Mug\Frame_11280_fg.png,8,11280
OilBottle\Frame_8000_fg.png,9,8000
SaucePan\Frame_3120_fg.png,12,3120
WashLiquid\Frame_4680_fg.png,16,4680
Plate\Frame_10240_fg.png,10,10240
CanOfCocaCola\Frame_19320_fg.png,2,19320
CanOfCocaCola\Frame_7680_fg.png,2,7680
VinegarBottle\Frame_22480_fg.png,15,22480
Glass\Frame_2640_fg.png,4,2640
Glass\Frame_6040_fg.png,4,6040
FryingPan\Frame_12160_fg.png,3,12160
Jam\Frame_11720_fg.png,5,11720
Mug\Frame_11640_fg.png,8,11640
Background\Frame_1960_bg.png,0,1960
WashLiquid\Frame_3480_fg.png,16,3480
Jam\Frame_10320_fg.png,5,10320
MilkBottle\Frame_2920_fg.png,7,2920
Sponge\Frame_4720_fg.png,13,4720
WashLiquid\Frame_1920_fg.png,16,1920
SaucePan\Frame_9880_fg.png,12,9880
Background\Frame_12680_bg.png,0,12680
Rice\Frame_3000_fg.png,11,3000
MilkBottle\Frame_4560_fg.png,7,4560
Plate\Frame_8560_fg.png,10,8560
Sponge\Frame_8960_fg.png,13,8960
OilBottle\Frame_4840_fg.png,9,4840
FryingPan\Frame_14680_fg.png,3,14680
Lid\Frame_8360_fg.png,6,8360
Sponge\Frame_2440_fg.png,13,2440
Sugar\Frame_6840_fg.png,14,6840
Glass\Frame_3440_fg.png,4,3440
Plate\Frame_6360_fg.png,10,6360
OilBottle\Frame_11000_fg.png,9,11000
Bowl\Frame_4840_fg.png,1,4840
Sponge\Frame_3360_fg.png,13,3360
Glass\Frame_3480_fg.png,4,3480
Mug\Frame_5800_fg.png,8,5800
MilkBottle\Frame_10320_fg.png,7,10320
Plate\Frame_9800_fg.png,10,9800
Plate\Frame_0960_fg.png,10,960
Jam\Frame_9400_fg.png,5,9400
Background\Frame_0960_bg.png,0,960
Bowl\Frame_7640_fg.png,1,7640
Lid\Frame_5840_fg.png,6,5840
MilkBottle\Frame_2400_fg.png,7,2400
FryingPan\Frame_14720_fg.png,3,14720
Sugar\Frame_7200_fg.png,14,7200
SaucePan\Frame_1120_fg.png,12,1120
CanOfCocaCola\Frame_18440_fg.png,2,18440
Plate\Frame_1280_fg.png,10,1280
Sponge\Frame_12800_fg.png,13,12800
Bowl\Frame_7440_fg.png,1,7440
Glass\Frame_2360_fg.png,4,2360
Jam\Frame_3280_fg.png,5,3280
Sponge\Frame_7560_fg.png,13,7560
Glass\Frame_6640_fg.png,4,6640
Plate\Frame_6160_fg.png,10,6160
OilBottle\Frame_5400_fg.png,9,5400
CanOfCocaCola\Frame_4520_fg.png,2,4520
Background\Frame_11440_bg.png,0,11440
VinegarBottle\Frame_21320_fg.png,15,21320
FryingPan\Frame_4000_fg.png,3,4000
Jam\Frame_8360_fg.png,5,8360
Sugar\Frame_4400_fg.png,14,4400
Sugar\Frame_2760_fg.png,14,2760
Jam\Frame_11680_fg.png,5,11680
MilkBottle\Frame_3840_fg.png,7,3840
FryingPan\Frame_9440_fg.png,3,9440
Background\Frame_20160_bg.png,0,20160
Sponge\Frame_10440_fg.png,13,10440
CanOfCocaCola\Frame_16040_fg.png,2,16040
Background\Frame_0560_bg.png,0,560
Glass\Frame_2760_fg.png,4,2760
VinegarBottle\Frame_22600_fg.png,15,22600
VinegarBottle\Frame_20280_fg.png,15,20280
Background\Frame_2240_bg.png,0,2240
VinegarBottle\Frame_21240_fg.png,15,21240
Rice\Frame_8520_fg.png,11,8520
Glass\Frame_0880_fg.png,4,880
Plate\Frame_11280_fg.png,10,11280
FryingPan\Frame_17480_fg.png,3,17480
MilkBottle\Frame_5680_fg.png,7,5680
Background\Frame_1280_bg.png,0,1280
CanOfCocaCola\Frame_6640_fg.png,2,6640
OilBottle\Frame_8640_fg.png,9,8640
OilBottle\Frame_11840_fg.png,9,11840
CanOfCocaCola\Frame_16720_fg.png,2,16720
Bowl\Frame_5720_fg.png,1,5720
Sponge\Frame_1480_fg.png,13,1480
VinegarBottle\Frame_20480_fg.png,15,20480
Background\Frame_2120_bg.png,0,2120
Bowl\Frame_7320_fg.png,1,7320
SaucePan\Frame_7680_fg.png,12,7680
Jam\Frame_1720_fg.png,5,1720
CanOfCocaCola\Frame_5960_fg.png,2,5960
FryingPan\Frame_1120_fg.png,3,1120
Mug\Frame_4680_fg.png,8,4680
WashLiquid\Frame_5240_fg.png,16,5240
VinegarBottle\Frame_6920_fg.png,15,6920
Mug\Frame_7120_fg.png,8,7120
SaucePan\Frame_9920_fg.png,12,9920
Background\Frame_12880_bg.png,0,12880
Bowl\Frame_10160_fg.png,1,10160
Jam\Frame_5240_fg.png,5,5240
Sponge\Frame_6600_fg.png,13,6600
CanOfCocaCola\Frame_7800_fg.png,2,7800
SaucePan\Frame_5600_fg.png,12,5600
Sugar\Frame_3640_fg.png,14,3640
Jam\Frame_2800_fg.png,5,2800
Sugar\Frame_5880_fg.png,14,5880
Bowl\Frame_1440_fg.png,1,1440
Jam\Frame_9200_fg.png,5,9200
MilkBottle\Frame_4400_fg.png,7,4400
Plate\Frame_3520_fg.png,10,3520
WashLiquid\Frame_9400_fg.png,16,9400
Bowl\Frame_2040_fg.png,1,2040
Lid\Frame_8440_fg.png,6,8440
Rice\Frame_9400_fg.png,11,9400
WashLiquid\Frame_9840_fg.png,16,9840
Jam\Frame_1320_fg.png,5,1320
Sponge\Frame_7840_fg.png,13,7840
OilBottle\Frame_4040_fg.png,9,4040
Sponge\Frame_2200_fg.png,13,2200
Background\Frame_20880_bg.png,0,20880
Bowl\Frame_3160_fg.png,1,3160
Glass\Frame_11880_fg.png,4,11880
Bowl\Frame_9720_fg.png,1,9720
Plate\Frame_2560_fg.png,10,2560
CanOfCocaCola\Frame_17320_fg.png,2,17320
Plate\Frame_11040_fg.png,10,11040
OilBottle\Frame_6440_fg.png,9,6440
Plate\Frame_14320_fg.png,10,14320
Glass\Frame_6920_fg.png,4,6920
Sugar\Frame_9680_fg.png,14,9680
Sponge\Frame_6520_fg.png,13,6520
Rice\Frame_8160_fg.png,11,8160
MilkBottle\Frame_3280_fg.png,7,3280
Bowl\Frame_4120_fg.png,1,4120
Glass\Frame_3920_fg.png,4,3920
VinegarBottle\Frame_7720_fg.png,15,7720
Plate\Frame_1680_fg.png,10,1680
MilkBottle\Frame_5760_fg.png,7,5760
Sugar\Frame_10680_fg.png,14,10680
Bowl\Frame_2720_fg.png,1,2720
Glass\Frame_12240_fg.png,4,12240
Bowl\Frame_1480_fg.png,1,1480
Plate\Frame_1400_fg.png,10,1400
Plate\Frame_3200_fg.png,10,3200
CanOfCocaCola\Frame_6000_fg.png,2,6000
Plate\Frame_5680_fg.png,10,5680
Glass\Frame_2400_fg.png,4,2400
Mug\Frame_2200_fg.png,8,2200
Rice\Frame_9040_fg.png,11,9040
Jam\Frame_7160_fg.png,5,7160
Lid\Frame_2840_fg.png,6,2840
SaucePan\Frame_2080_fg.png,12,2080
CanOfCocaCola\Frame_7760_fg.png,2,7760
Background\Frame_19560_bg.png,0,19560
Sugar\Frame_9200_fg.png,14,9200
Plate\Frame_12160_fg.png,10,12160
FryingPan\Frame_9080_fg.png,3,9080
VinegarBottle\Frame_8680_fg.png,15,8680
Sugar\Frame_3480_fg.png,14,3480
Rice\Frame_4480_fg.png,11,4480
Jam\Frame_6160_fg.png,5,6160
CanOfCocaCola\Frame_10240_fg.png,2,10240
Rice\Frame_7040_fg.png,11,7040
FryingPan\Frame_6560_fg.png,3,6560
Sugar\Frame_2640_fg.png,14,2640
Mug\Frame_7600_fg.png,8,7600
MilkBottle\Frame_7320_fg.png,7,7320
FryingPan\Frame_2160_fg.png,3,2160
CanOfCocaCola\Frame_18720_fg.png,2,18720
Rice\Frame_6920_fg.png,11,6920
Jam\Frame_2760_fg.png,5,2760
VinegarBottle\Frame_20360_fg.png,15,20360
Lid\Frame_2400_fg.png,6,2400
Background\Frame_15000_bg.png,0,15000
Rice\Frame_10120_fg.png,11,10120
MilkBottle\Frame_3120_fg.png,7,3120
Sponge\Frame_1640_fg.png,13,1640
Mug\Frame_9520_fg.png,8,9520
Lid\Frame_7880_fg.png,6,7880
SaucePan\Frame_4360_fg.png,12,4360
CanOfCocaCola\Frame_14960_fg.png,2,14960
Rice\Frame_11960_fg.png,11,11960
Jam\Frame_1600_fg.png,5,1600
CanOfCocaCola\Frame_11520_fg.png,2,11520
Jam\Frame_7520_fg.png,5,7520
Jam\Frame_6480_fg.png,5,6480
Jam\Frame_4760_fg.png,5,4760
Mug\Frame_12560_fg.png,8,12560
Background\Frame_1920_bg.png,0,1920
Jam\Frame_4280_fg.png,5,4280
Plate\Frame_7720_fg.png,10,7720
WashLiquid\Frame_6640_fg.png,16,6640
Background\Frame_4400_bg.png,0,4400
Sponge\Frame_9040_fg.png,13,9040
Glass\Frame_11960_fg.png,4,11960
Rice\Frame_11840_fg.png,11,11840
Sugar\Frame_7520_fg.png,14,7520
Background\Frame_7360_bg.png,0,7360
MilkBottle\Frame_6160_fg.png,7,6160
Lid\Frame_3520_fg.png,6,3520
Plate\Frame_9880_fg.png,10,9880
Lid\Frame_2080_fg.png,6,2080
Jam\Frame_2400_fg.png,5,2400
CanOfCocaCola\Frame_18920_fg.png,2,18920
CanOfCocaCola\Frame_18880_fg.png,2,18880
Jam\Frame_3960_fg.png,5,3960
FryingPan\Frame_6320_fg.png,3,6320
SaucePan\Frame_11280_fg.png,12,11280
VinegarBottle\Frame_8720_fg.png,15,8720
Plate\Frame_7120_fg.png,10,7120
VinegarBottle\Frame_6760_fg.png,15,6760
Background\Frame_4280_bg.png,0,4280
VinegarBottle\Frame_10800_fg.png,15,10800
OilBottle\Frame_9160_fg.png,9,9160
OilBottle\Frame_2360_fg.png,9,2360
VinegarBottle\Frame_2080_fg.png,15,2080
Rice\Frame_6560_fg.png,11,6560
Plate\Frame_12280_fg.png,10,12280
OilBottle\Frame_10960_fg.png,9,10960
FryingPan\Frame_10880_fg.png,3,10880
Sugar\Frame_5200_fg.png,14,5200
WashLiquid\Frame_3840_fg.png,16,3840
OilBottle\Frame_5360_fg.png,9,5360
VinegarBottle\Frame_0840_fg.png,15,840
Sponge\Frame_11680_fg.png,13,11680
Jam\Frame_10400_fg.png,5,10400
OilBottle\Frame_11760_fg.png,9,11760
